payment_id;claim_id;payment_date;payment_type;payment_value
751966;8287;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;2000000.0
309382;6000;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;6000000.0
563784;5641;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;70000000.0
366021;6815;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;46000000.0
610761;2371;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;45000000.0
961908;6239;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;85000000.0
413071;8703;2023-01-12 00:00:00+00:00;GRÚA;62000000.0
2827;3115;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;1000000.0
819385;5107;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;77000000.0
702817;368;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;15000000.0
216741;8528;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;27000000.0
44582;8864;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;79000000.0
341867;52;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;82000000.0
766785;1234;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;65000000.0
984069;4211;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;42000000.0
958992;7616;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;59000000.0
289590;3788;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;2000000.0
273421;7556;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;21000000.0
144537;4023;2023-01-12 00:00:00+00:00;GRÚA;6000000.0
622632;6677;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;42000000.0
557852;2830;2023-01-12 00:00:00+00:00;GRÚA;85000000.0
634387;2032;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;37000000.0
149863;1129;2023-01-12 00:00:00+00:00;GRÚA;76000000.0
861825;7616;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;82000000.0
868453;2294;2023-01-12 00:00:00+00:00;GRÚA;96000000.0
161910;1234;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;51000000.0
994263;140;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;97000000.0
941150;4032;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;8000000.0
618275;6936;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;4000000.0
617735;8784;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;95000000.0
518594;8182;2023-01-12 00:00:00+00:00;RESPONSABILIDAD CIVIL;93000000.0
512526;725;2023-01-12 00:00:00+00:00;PÉRDIDA PARCIAL;40000000.0
451977;3363;2023-01-12 00:00:00+00:00;GRÚA;58000000.0
465774;7234;2023-01-12 00:00:00+00:00;PÉRDIDA TOTAL;3000000.0
771079;4399;2023-01-12 00:00:00+00:00;CONDUCTOR ELEGIDO;83000000.0
